City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ambon,-3.6954,128.1814,75.34,94,40,6.91,ID,1674754699
84,bowen,-20.0167,148.2333,77.88,90,33,8.1,AU,1674754699
85,port-gentil,-0.7193,8.7815,76.96,94,40,9.22,GA,1674754700
86,te anau,-45.4167,167.7167,57.31,95,98,2.82,NZ,1674754700
87,pierre,44.3683,-100.351,27.52,86,100,6.91,US,1674754701
88,katsuura,35.1333,140.3,41.81,55,95,10.09,JP,1674754702
89,tucupita,9.0622,-62.051,82.45,60,45,5.93,VE,1674754702
90,nikolskoye,59.7035,30.7861,35.49,99,100,5.1,RU,1674754703
91,bathsheba,13.2167,-59.5167,84.81,51,20,20.71,BB,1674754703
92,yakeshi,49.2833,120.7333,-40.95,100,95,2.04,CN,1674754704
93,inhambane,-23.865,35.3833,80.58,74,20,16.11,MZ,1674754704
94,puerto ayora,-0.7393,-90.3518,84.16,85,71,7.0,EC,1674754618
95,zhigansk,66.7697,123.3711,-56.63,100,59,4.99,RU,1674754705
96,kismayo,-0.3582,42.5454,77.2,82,45,19.8,SO,1674754706
97,rhyl,53.3196,-3.4886,44.76,3,30,4.18,GB,1674754706
98,camargo,27.6667,-105.1667,51.78,20,76,5.23,MX,1674754707
99,east chicago,41.6392,-87.4548,27.01,86,100,13.8,US,1674754707
100,paramonga,-10.6667,-77.8333,76.75,70,78,9.6,PE,1674754708
101,huadian,42.9633,126.7478,-13.07,98,6,3.09,CN,1674754708
102,palmer,42.1584,-72.3287,45.25,74,100,18.41,US,1674754419
103,caravelas,-17.7125,-39.2481,85.12,60,32,11.03,BR,1674754709
104,nyrob,60.733,56.7202,32.14,95,100,9.37,RU,1674754709
105,hamilton,39.1834,-84.5333,34.81,84,100,16.11,US,1674754430
106,maraa,-1.8333,-65.3667,92.68,42,75,2.73,BR,1674754709
107,den helder,52.9599,4.7593,44.98,74,100,14.0,NL,1674754559
108,east london,-33.0153,27.9116,76.14,78,0,8.05,ZA,1674754710
109,airai,-8.9266,125.4092,61.03,90,64,2.21,TL,1674754710
110,kupang,-10.1667,123.5833,77.85,86,90,3.06,ID,1674754711
111,karratha,-20.7377,116.8463,87.04,60,2,13.02,AU,1674754711
112,shizilu,35.1711,118.8289,19.76,58,4,7.0,CN,1674754712
113,tasiilaq,65.6145,-37.6368,30.36,97,100,5.59,GL,1674754712
114,alakurtti,66.9672,30.3491,14.05,92,93,7.72,RU,1674754713
115,sola,-13.8833,167.55,82.31,77,49,16.98,VU,1674754713
116,mahajanga,-15.7167,46.3167,77.02,88,75,16.11,MG,1674754609
117,harstad,68.799,16.5293,30.15,97,100,15.99,NO,1674754714
118,yellowknife,62.456,-114.3525,1.92,85,75,12.66,CA,1674754673
119,bredasdorp,-34.5322,20.0403,68.18,65,0,7.16,ZA,1674754715
120,carnarvon,-24.8667,113.6333,76.71,78,18,18.66,AU,1674754715
121,prince rupert,54.3161,-130.3201,44.69,99,100,17.27,CA,1674754716
122,la union,-5.4,-80.75,89.74,37,71,11.95,PE,1674754716
123,london,51.5085,-0.1257,44.78,88,75,6.91,GB,1674754708
124,hasaki,35.7333,140.8333,35.22,57,100,11.59,JP,1674754717
125,bethel,41.3712,-73.414,44.02,62,100,13.8,US,1674754718
126,cidreira,-30.1811,-50.2056,81.55,73,40,15.48,BR,1674754718
127,nome,64.5011,-165.4064,-0.33,78,100,17.27,US,1674754307
128,magadan,59.5667,150.8,9.64,57,100,19.98,RU,1674754719
129,dargaville,-35.9333,173.8833,67.37,98,100,10.85,NZ,1674754719
130,punganuru,13.3667,78.5833,61.75,87,1,4.5,IN,1674754719
131,saint-philippe,-21.3585,55.7679,80.19,86,82,3.06,RE,1674754720
